method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem6,10,1,0.48,1.6,0.8,89650.7
Morris,CMA,Problem6,10,1,0.48,4,0.2,99270.36667
Morris,CMA,Problem6,10,1,1.62,1.6,0.8,103829.2333
Morris,CMA,Problem6,1000,0.1,0.1,0.8,0,97709.93333
Morris,CMA,Problem6,1000,0.1,0.1,0.8,0.6,104392.5667
Morris,CMA,Problem6,1000,0.1,0.1,3.2,0.6,100677.1
Morris,CMA,Problem6,1000,0.1,0.86,0.8,0.2,100330.4
Morris,CMA,Problem6,1000,0.1,1.24,3.2,0.6,102493.7333
Morris,CMA,Problem6,1000,0.1,2,0.8,0.2,97209.26667
Morris,CMA,Problem6,1000,0.1,2,3.2,0.2,101331.1
Morris,CMA,Problem6,1000,0.1,2,3.2,0.8,99390.33333
Morris,CMA,Problem6,1000,0.46,0.1,4,0.6,100299.0667
Morris,CMA,Problem6,1000,1,0.1,4,0.6,98817.33333
Morris,CMA,Problem6,1000,1,1.24,4,0.6,95234.83333
Morris,CMA,Problem6,208,0.1,1.24,2.4,1,101330.9667
Morris,CMA,Problem6,208,0.28,0.86,1.6,0.6,98479.06667
Morris,CMA,Problem6,208,0.28,2,1.6,0.6,101171.9667
Morris,CMA,Problem6,208,0.28,2,3.2,0,103209.8
Morris,CMA,Problem6,208,0.28,2,3.2,0.6,99115.26667
Morris,CMA,Problem6,208,0.82,0.86,1.6,0,99472.6
Morris,CMA,Problem6,208,0.82,0.86,1.6,0.6,100274.9667
Morris,CMA,Problem6,208,0.82,0.86,4,0,100490.9667
Morris,CMA,Problem6,208,0.82,2,1.6,0.6,99476.66667
Morris,CMA,Problem6,406,0.1,0.86,0.8,0.2,99197.26667
Morris,CMA,Problem6,406,0.1,1.24,3.2,0.6,100390.5
Morris,CMA,Problem6,406,0.64,0.86,0.8,0.2,97222.5
Morris,CMA,Problem6,406,0.64,1.24,3.2,0.6,98287.83333
Morris,CMA,Problem6,406,1,1.24,1.6,0,101344.8
Morris,CMA,Problem6,406,1,1.24,4,0,99675.4
Morris,CMA,Problem6,406,1,1.24,4,0.6,100124.9667
