method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
SOBOL,CMA,Problem20,567.1192,0.6350678,0.5507068,3.291623,0.5090141,-2.335547088
SOBOL,CMA,Problem20,567.1192,0.6350678,0.658578,0.2814198,0.5090141,-2.202554708
SOBOL,CMA,Problem20,567.1192,0.6350678,0.658578,3.291623,0.5090141,-2.319464164
SOBOL,CMA,Problem20,567.1192,0.6350678,0.658578,3.291623,0.8077258,-2.257086989
SOBOL,CMA,Problem20,570.2486,0.374523,1.570611,3.540586,0.42232,-1.712222304
SOBOL,CMA,Problem20,570.2486,0.374523,1.570611,3.709494,0.42232,-1.748243153
SOBOL,CMA,Problem20,570.2486,0.374523,1.570611,3.709494,0.4955418,-1.635898119
SOBOL,CMA,Problem20,570.2486,0.374523,1.743208,3.709494,0.42232,-1.696224143
SOBOL,CMA,Problem20,570.2486,0.476686,1.570611,3.709494,0.42232,-1.712036951
SOBOL,CMA,Problem20,577.3783,0.3734658,1.156797,0.1380073,0.9916443,-1.928257004
SOBOL,CMA,Problem20,577.3783,0.3734658,1.156797,2.733483,0.3235379,-2.011085749
SOBOL,CMA,Problem20,577.3783,0.3734658,1.156797,2.733483,0.9916443,-1.980577351
SOBOL,CMA,Problem20,577.3783,0.3734658,1.355244,2.733483,0.9916443,-1.756720935
SOBOL,CMA,Problem20,577.3783,0.7166674,1.156797,2.733483,0.9916443,-1.828939252
SOBOL,CMA,Problem20,580.1867,0.2131023,1.818921,0.4238751,0.4479749,-1.624360572
SOBOL,CMA,Problem20,580.1867,0.7655666,0.1179493,1.853363,0.9118586,-1.183628966
SOBOL,CMA,Problem20,586.4268,0.6771611,1.908712,0.7597425,0.7916798,-1.65497365
SOBOL,CMA,Problem20,586.4268,0.7275681,1.934426,0.6935107,0.4607264,-1.64496411
SOBOL,CMA,Problem20,592.3241,0.4257606,0.1682908,0.5911802,0.6120411,-2.084784955
SOBOL,CMA,Problem20,592.3241,0.7447657,1.751218,0.6356682,0.6005934,-1.615689279
SOBOL,CMA,Problem20,596.8431,0.137078,0.2202601,1.756647,0.7658164,-2.102884841
SOBOL,CMA,Problem20,596.8431,0.267348,1.338242,3.237968,0.3946726,-1.925578588
SOBOL,CMA,Problem20,603.4692,0.6216504,0.6415154,0.8521321,0.2712096,-2.283354424
SOBOL,CMA,Problem20,603.4692,0.6216504,0.6415154,0.8521321,0.5524414,-2.140319095
SOBOL,CMA,Problem20,603.4692,0.6216504,0.6415154,1.142132,0.5524414,-2.294722361
SOBOL,CMA,Problem20,603.4692,0.6216504,1.787844,0.8521321,0.5524414,-1.58363895
SOBOL,CMA,Problem20,603.4692,0.8661077,0.6415154,0.8521321,0.5524414,-2.332636303
SOBOL,CMA,Problem20,608.4427,0.6937006,1.679747,1.220437,0.5699418,-1.806558139
SOBOL,CMA,Problem20,608.4427,0.7798731,1.601233,0.9345553,0.2411192,-1.817287714
SOBOL,CMA,Problem20,609.5582,0.3808564,1.755549,0.4844501,0.4054765,-1.630382711
SOBOL,CMA,Problem20,609.5582,0.5191281,1.138874,3.522454,0.2371649,-2.169850253
SOBOL,CMA,Problem20,618.0534,0.3063276,0.1324072,2.957911,0.5152148,-1.466968137
SOBOL,CMA,Problem20,618.0534,0.7584183,1.382332,3.444638,0.1527536,-1.977171786
SOBOL,CMA,Problem20,623.1757,0.4203812,1.238203,3.754159,0.7468077,-2.04933316
SOBOL,CMA,Problem20,623.1757,0.459183,1.807521,2.85826,0.4394948,-1.716938313
SOBOL,CMA,Problem20,625.1976,0.4974183,1.560251,1.954859,0.3397075,-1.713269094
SOBOL,CMA,Problem20,625.1976,0.6017831,0.7835226,1.954859,0.3397075,-2.139737577
SOBOL,CMA,Problem20,625.1976,0.6017831,1.560251,0.3071612,0.3397075,-1.7234109
SOBOL,CMA,Problem20,625.1976,0.6017831,1.560251,1.954859,0.3397075,-1.806039043
SOBOL,CMA,Problem20,625.1976,0.6017831,1.560251,1.954859,0.6491213,-1.708173939
SOBOL,CMA,Problem20,632.2547,0.5066515,0.9875035,0.649448,0.2136786,-2.037300392
SOBOL,CMA,Problem20,632.2547,0.7253606,0.8117311,2.897916,0.3863149,-2.163188396
SOBOL,CMA,Problem20,636.7185,0.1724478,0.8485379,3.326492,0.2868852,-2.023501219
SOBOL,CMA,Problem20,636.7185,0.6723116,0.8485379,0.2393473,0.2868852,-2.102456959
SOBOL,CMA,Problem20,636.7185,0.6723116,0.8485379,3.326492,0.1444047,-2.265796491
SOBOL,CMA,Problem20,636.7185,0.6723116,0.8485379,3.326492,0.2868852,-2.192479127
SOBOL,CMA,Problem20,636.7185,0.6723116,1.227789,3.326492,0.2868852,-1.884422444
SOBOL,CMA,Problem20,64.391,0.150485,0.570866,2.90903,0.977074,-1.861485746
SOBOL,CMA,Problem20,64.391,0.54182,0.830563,3.4602,0.06544,-1.731010805
SOBOL,CMA,Problem20,640.0953,0.7663354,0.8935326,1.434887,0.705471,-2.188333536
SOBOL,CMA,Problem20,640.0953,0.9481863,0.6168146,0.4524873,0.3729472,-2.301333623
SOBOL,CMA,Problem20,644.5536,0.8000291,1.01043,1.96878,0.5329894,-2.165073691
SOBOL,CMA,Problem20,644.5536,0.8369596,1.389618,1.792672,0.5443055,-2.038185539
SOBOL,CMA,Problem20,651.9025,0.3976596,0.9306573,2.522117,0.5007956,-2.09431573
SOBOL,CMA,Problem20,651.9025,0.4487492,1.45775,2.51183,0.8818654,-1.914858729
SOBOL,CMA,Problem20,654.9358,0.5351609,0.8323326,2.450313,0.8331874,-2.271811858
SOBOL,CMA,Problem20,654.9358,0.8154487,0.9110998,2.68698,0.5644615,-2.121051567
SOBOL,CMA,Problem20,662.3853,0.1029607,0.3211242,1.56737,0.6653095,-2.440583154
SOBOL,CMA,Problem20,662.3853,0.9340523,0.3211242,1.56737,0.292254,-2.348027256
SOBOL,CMA,Problem20,662.3853,0.9340523,0.3211242,1.56737,0.6653095,-2.41979378
SOBOL,CMA,Problem20,662.3853,0.9340523,0.3211242,1.738251,0.6653095,-2.218248763
SOBOL,CMA,Problem20,662.3853,0.9340523,1.182911,1.56737,0.6653095,-2.143923334
SOBOL,CMA,Problem20,663.6579,0.1504847,0.830563,3.460197,0.06544,-2.110351909
SOBOL,CMA,Problem20,663.6579,0.5418197,0.5708663,3.460197,0.06544,-2.300717169
SOBOL,CMA,Problem20,663.6579,0.5418197,0.830563,2.909032,0.06544,-2.329919575
SOBOL,CMA,Problem20,663.6579,0.5418197,0.830563,3.460197,0.06544,-2.170507985
SOBOL,CMA,Problem20,663.6579,0.5418197,0.830563,3.460197,0.977074,-2.193363648
SOBOL,CMA,Problem20,671.37,0.3968368,0.6316843,3.939827,0.1088956,-2.414874848
SOBOL,CMA,Problem20,671.37,0.9862196,1.152388,0.3801557,0.7517646,-2.056474066
SOBOL,CMA,Problem20,673.3301,0.6554033,0.3542167,3.802444,0.3422663,-2.342782363
SOBOL,CMA,Problem20,673.3301,0.6683287,0.3668464,3.990456,0.1724182,-2.163037073
SOBOL,CMA,Problem20,68.9175,0.407094,0.486071,2.70654,0.524744,-2.124747415
SOBOL,CMA,Problem20,68.9175,0.751505,0.146082,2.96649,0.0922915,-1.678262214
SOBOL,CMA,Problem20,683.0787,0.1724478,1.227789,0.2393473,0.1444047,-2.267708114
SOBOL,CMA,Problem20,683.0787,0.6723116,0.8485379,3.326492,0.2868852,-2.242003543
SOBOL,CMA,Problem20,688.0437,0.116046,0.3941034,0.7643004,0.1165783,-2.308299261
SOBOL,CMA,Problem20,688.0437,0.116046,0.3941034,0.7643004,0.4936286,-2.451052001
SOBOL,CMA,Problem20,688.0437,0.116046,0.3941034,2.028409,0.1165783,-2.444066093
SOBOL,CMA,Problem20,688.0437,0.116046,1.512283,0.7643004,0.1165783,-2.072423436
SOBOL,CMA,Problem20,688.0437,0.2521854,0.3941034,0.7643004,0.1165783,-2.339432825
SOBOL,CMA,Problem20,691.7862,0.8000291,1.01043,1.792672,0.5329894,-2.267273649
SOBOL,CMA,Problem20,691.7862,0.8000291,1.01043,1.96878,0.5329894,-2.122735748
SOBOL,CMA,Problem20,691.7862,0.8000291,1.01043,1.96878,0.5443055,-2.18480881
SOBOL,CMA,Problem20,691.7862,0.8000291,1.389618,1.96878,0.5329894,-1.984291264
SOBOL,CMA,Problem20,691.7862,0.8369596,1.01043,1.96878,0.5329894,-2.226385354
SOBOL,CMA,Problem20,697.7647,0.5351609,0.8323326,2.450313,0.5644615,-2.317485211
SOBOL,CMA,Problem20,697.7647,0.5351609,0.8323326,2.450313,0.8331874,-2.219282299
SOBOL,CMA,Problem20,697.7647,0.5351609,0.8323326,2.68698,0.8331874,-2.162677976
SOBOL,CMA,Problem20,697.7647,0.5351609,0.9110998,2.450313,0.8331874,-2.161775283
SOBOL,CMA,Problem20,697.7647,0.8154487,0.8323326,2.450313,0.8331874,-2.119280229
SOBOL,CMA,Problem20,699.6566,0.4666358,0.9362349,2.137308,0.1990447,-2.186414116
SOBOL,CMA,Problem20,699.6566,0.4666358,1.063419,1.034291,0.1990447,-2.239885498
SOBOL,CMA,Problem20,699.6566,0.4666358,1.063419,2.137308,0.1990447,-2.110871979
SOBOL,CMA,Problem20,699.6566,0.4666358,1.063419,2.137308,0.4802977,-1.972463165
SOBOL,CMA,Problem20,699.6566,0.7794783,1.063419,2.137308,0.1990447,-2.255260489
SOBOL,CMA,Problem20,70.3698,0.187726,0.957393,2.22325,0.9598,-1.55969412
SOBOL,CMA,Problem20,70.3698,0.612982,0.64117,1.45095,0.157518,-1.83018988
SOBOL,CMA,Problem20,703.2708,0.2088238,0.8826737,1.06387,0.7702922,-2.276567091
SOBOL,CMA,Problem20,703.2708,0.2088238,0.8826737,1.06387,0.9323399,-2.132349075
SOBOL,CMA,Problem20,703.2708,0.2088238,0.8826737,1.877883,0.7702922,-2.315976758
SOBOL,CMA,Problem20,703.2708,0.2088238,1.523545,1.06387,0.7702922,-1.966844118
SOBOL,CMA,Problem20,703.2708,0.2577423,0.8826737,1.06387,0.7702922,-2.377897747
SOBOL,CMA,Problem20,708.7166,0.3610172,1.616849,3.963476,0.923554,-1.810697533
SOBOL,CMA,Problem20,708.7166,0.5726816,1.245173,0.5770822,0.8452756,-2.134300799
SOBOL,CMA,Problem20,713.1844,0.6050349,1.460603,0.1491895,0.2681389,-1.910909135
SOBOL,CMA,Problem20,713.1844,0.6050349,1.988651,0.1491895,0.01993331,-1.658656673
SOBOL,CMA,Problem20,713.1844,0.6050349,1.988651,0.1491895,0.2681389,-1.542468591
SOBOL,CMA,Problem20,713.1844,0.6050349,1.988651,3.722697,0.2681389,-1.6052581
SOBOL,CMA,Problem20,713.1844,0.8879965,1.988651,0.1491895,0.2681389,-1.741122014
SOBOL,CMA,Problem20,722.6966,0.2556997,0.8209189,3.766268,0.3546772,-2.247282139
SOBOL,CMA,Problem20,722.6966,0.7151573,0.6723832,3.271306,0.860551,-2.375532548
SOBOL,CMA,Problem20,725.1555,0.2039851,0.4468488,0.619794,0.0647052,-2.293283763
SOBOL,CMA,Problem20,725.1555,0.2039851,1.854477,0.619794,0.0647052,-1.976826032
SOBOL,CMA,Problem20,725.1555,0.2039851,1.854477,0.619794,0.7340506,-1.950547168
SOBOL,CMA,Problem20,725.1555,0.2039851,1.854477,2.153041,0.0647052,-1.969696377
SOBOL,CMA,Problem20,725.1555,0.3873459,1.854477,0.619794,0.0647052,-1.831431134
SOBOL,CMA,Problem20,730.6666,0.6216504,0.6415154,0.8521321,0.5524414,-2.410423474
SOBOL,CMA,Problem20,730.6666,0.8661077,1.787844,1.142132,0.2712096,-1.834634556
SOBOL,CMA,Problem20,736.511,0.109627,0.2915585,1.30894,0.5937159,-2.289623292
SOBOL,CMA,Problem20,736.511,0.9314541,0.7607287,2.162199,0.6410377,-2.208077156
SOBOL,CMA,Problem20,739.1379,0.168241,1.302192,2.491875,0.8995444,-2.12726428
SOBOL,CMA,Problem20,739.1379,0.5493228,1.266547,0.08897809,0.9677873,-2.100789709
SOBOL,CMA,Problem20,744.263,0.5973859,1.0247,2.277104,0.4786614,-2.250886688
SOBOL,CMA,Problem20,744.263,0.9384701,0.3433241,2.277104,0.4786614,-2.365350088
SOBOL,CMA,Problem20,744.263,0.9384701,1.0247,1.628855,0.4786614,-2.204573266
SOBOL,CMA,Problem20,744.263,0.9384701,1.0247,2.277104,0.4786614,-2.108335998
SOBOL,CMA,Problem20,744.263,0.9384701,1.0247,2.277104,0.8436551,-2.161193126
SOBOL,CMA,Problem20,75.4114,0.655403,0.366846,3.99046,0.172418,-2.04662891
SOBOL,CMA,Problem20,75.4114,0.668329,0.354217,3.99046,0.172418,-2.079509996
SOBOL,CMA,Problem20,75.4114,0.668329,0.366846,3.80244,0.172418,-2.233256316
SOBOL,CMA,Problem20,75.4114,0.668329,0.366846,3.99046,0.172418,-2.094321252
SOBOL,CMA,Problem20,75.4114,0.668329,0.366846,3.99046,0.342266,-2.194943023
SOBOL,CMA,Problem20,750.3763,0.183472,0.3172176,1.518078,0.2565098,-2.266368226
SOBOL,CMA,Problem20,750.3763,0.6959702,0.3172176,1.202582,0.2565098,-2.251662371
SOBOL,CMA,Problem20,750.3763,0.6959702,0.3172176,1.518078,0.2464895,-2.298989381
SOBOL,CMA,Problem20,750.3763,0.6959702,0.3172176,1.518078,0.2565098,-2.370135028
SOBOL,CMA,Problem20,750.3763,0.6959702,1.821929,1.518078,0.2565098,-1.617046797
SOBOL,CMA,Problem20,754.1125,0.3327259,0.5507068,0.2814198,0.8077258,-2.351058542
SOBOL,CMA,Problem20,754.1125,0.6350678,0.658578,3.291623,0.5090141,-2.315002644
SOBOL,CMA,Problem20,758.5025,0.116046,0.3941034,0.7643004,0.1165783,-2.335391311
SOBOL,CMA,Problem20,758.5025,0.2521854,1.512283,2.028409,0.4936286,-1.870418428
SOBOL,CMA,Problem20,766.0141,0.1443256,0.6664411,0.9619669,0.9865733,-2.224784892
SOBOL,CMA,Problem20,766.0141,0.1443256,0.6664411,3.365832,0.869049,-2.437313062
SOBOL,CMA,Problem20,766.0141,0.1443256,0.6664411,3.365832,0.9865733,-2.366019843
SOBOL,CMA,Problem20,766.0141,0.1443256,1.670445,3.365832,0.9865733,-1.724154752
SOBOL,CMA,Problem20,766.0141,0.8700361,0.6664411,3.365832,0.9865733,-2.37713511
SOBOL,CMA,Problem20,769.2443,0.6634858,1.621441,1.712136,0.8249475,-1.92810154
SOBOL,CMA,Problem20,769.2443,0.8274297,1.700421,0.1723867,0.4419091,-1.806723455
SOBOL,CMA,Problem20,775.6744,0.2396349,1.538599,1.648676,0.3573536,-1.867733725
SOBOL,CMA,Problem20,775.6744,0.4814642,1.505441,1.814568,0.528049,-1.776507888
SOBOL,CMA,Problem20,780.628,0.6846471,0.9679525,0.3593081,0.2954628,-2.263656195
SOBOL,CMA,Problem20,780.628,0.8240209,1.290417,1.162985,0.1610073,-1.976095352
SOBOL,CMA,Problem20,784.8642,0.8642743,1.495428,0.8253996,0.005856896,-1.909754876
SOBOL,CMA,Problem20,784.8642,0.8642743,1.495428,0.8253996,0.1214221,-1.832391363
SOBOL,CMA,Problem20,784.8642,0.8642743,1.495428,2.281818,0.1214221,-1.924661697
SOBOL,CMA,Problem20,784.8642,0.8642743,1.891857,0.8253996,0.1214221,-1.793345158
SOBOL,CMA,Problem20,784.8642,0.9975273,1.495428,0.8253996,0.1214221,-1.916793108
SOBOL,CMA,Problem20,787.9517,0.3532602,1.012649,0.4691376,0.9181676,-2.339908034
SOBOL,CMA,Problem20,787.9517,0.3532602,1.183279,0.3776788,0.9181676,-2.101993942
SOBOL,CMA,Problem20,787.9517,0.3532602,1.183279,0.4691376,0.08585129,-2.011382267
SOBOL,CMA,Problem20,787.9517,0.3532602,1.183279,0.4691376,0.9181676,-2.162396625
SOBOL,CMA,Problem20,787.9517,0.8777412,1.183279,0.4691376,0.9181676,-2.020367459
SOBOL,CMA,Problem20,793.7172,0.4379301,0.8733716,3.642634,0.2002405,-2.329219625
SOBOL,CMA,Problem20,793.7172,0.8326205,0.8674117,0.9913926,0.7206558,-2.246617758
SOBOL,CMA,Problem20,800.5097,0.3514377,1.792935,2.836022,0.5766233,-1.660519135
SOBOL,CMA,Problem20,800.5097,0.4864865,0.4790598,2.341358,0.09969904,-2.409380791
SOBOL,CMA,Problem20,802.5825,0.2750229,0.4940148,3.672865,0.1788039,-2.470933597
SOBOL,CMA,Problem20,802.5825,0.454861,0.4111236,1.880605,0.8896988,-2.543141304
SOBOL,CMA,Problem20,811.5228,0.8069678,0.9239389,1.264553,0.2501522,-2.123387207
SOBOL,CMA,Problem20,811.5228,0.8540316,0.747434,1.264553,0.2501522,-2.347994386
SOBOL,CMA,Problem20,811.5228,0.8540316,0.9239389,1.264553,0.2501522,-2.25390375
SOBOL,CMA,Problem20,811.5228,0.8540316,0.9239389,1.264553,0.3295296,-2.247643707
SOBOL,CMA,Problem20,811.5228,0.8540316,0.9239389,3.48819,0.2501522,-2.318832217
SOBOL,CMA,Problem20,812.5152,0.2479912,0.3061954,2.190678,0.9411273,-2.320538137
SOBOL,CMA,Problem20,812.5152,0.2479912,1.106507,2.190678,0.8255687,-2.228076432
SOBOL,CMA,Problem20,812.5152,0.2479912,1.106507,2.190678,0.9411273,-1.983024372
SOBOL,CMA,Problem20,812.5152,0.2479912,1.106507,2.616649,0.9411273,-2.148768344
SOBOL,CMA,Problem20,812.5152,0.6484512,1.106507,2.190678,0.9411273,-2.233186994
SOBOL,CMA,Problem20,818.1578,0.2896884,1.441908,0.184114,0.7605842,-2.02658194
SOBOL,CMA,Problem20,818.1578,0.2896884,1.441908,0.7094493,0.3995408,-1.893686661
SOBOL,CMA,Problem20,818.1578,0.2896884,1.441908,0.7094493,0.7605842,-1.8338248
SOBOL,CMA,Problem20,818.1578,0.2896884,1.901408,0.7094493,0.7605842,-1.562911148
SOBOL,CMA,Problem20,818.1578,0.8505244,1.441908,0.7094493,0.7605842,-2.003517088
SOBOL,CMA,Problem20,82.0943,0.556354,0.433576,0.0356491,0.0346927,-2.212449972
SOBOL,CMA,Problem20,82.0943,0.556354,1.1126,0.0356491,0.0346927,-1.282623588
SOBOL,CMA,Problem20,82.0943,0.556354,1.1126,0.0356491,0.281006,-1.445213206
SOBOL,CMA,Problem20,82.0943,0.556354,1.1126,1.37719,0.0346927,-1.556332645
SOBOL,CMA,Problem20,82.0943,0.96939,1.1126,0.0356491,0.0346927,-1.486081202
SOBOL,CMA,Problem20,822.9642,0.9166577,0.3610924,2.050185,0.3302859,-2.441813453
SOBOL,CMA,Problem20,822.9642,0.9622031,0.8559236,2.740937,0.3481797,-2.323490789
SOBOL,CMA,Problem20,827.0906,0.4299262,0.212421,3.851011,0.2085085,-2.389708434
SOBOL,CMA,Problem20,827.0906,0.4299262,0.5807634,2.561691,0.2085085,-2.559416679
SOBOL,CMA,Problem20,827.0906,0.4299262,0.5807634,3.851011,0.2085085,-2.384726072
SOBOL,CMA,Problem20,827.0906,0.4299262,0.5807634,3.851011,0.9649417,-2.440188137
SOBOL,CMA,Problem20,827.0906,0.6408129,0.5807634,3.851011,0.2085085,-2.338948099
SOBOL,CMA,Problem20,831.7946,0.1661113,1.472889,3.600299,0.2280484,-1.895195669
SOBOL,CMA,Problem20,831.7946,0.1943507,1.045587,3.035894,0.9977116,-2.158876322
SOBOL,CMA,Problem20,838.5781,0.2039851,1.854477,0.619794,0.0647052,-1.890348968
SOBOL,CMA,Problem20,838.5781,0.3873459,0.4468488,2.153041,0.7340506,-2.42606478
SOBOL,CMA,Problem20,84.561,0.239635,1.50544,1.64868,0.357354,-1.24999458
SOBOL,CMA,Problem20,84.561,0.239635,1.5386,1.64868,0.357354,-1.215852366
SOBOL,CMA,Problem20,84.561,0.239635,1.5386,1.64868,0.528049,-1.161629243
SOBOL,CMA,Problem20,84.561,0.239635,1.5386,1.81457,0.357354,-1.432343941
SOBOL,CMA,Problem20,84.561,0.481464,1.5386,1.64868,0.357354,-1.21618887
SOBOL,CMA,Problem20,841.9926,0.3191728,0.5995665,3.627293,0.6528306,-2.471311943
SOBOL,CMA,Problem20,841.9926,0.9198165,0.5867127,1.691931,0.5455091,-2.437946545
SOBOL,CMA,Problem20,847.3548,0.5705532,1.311371,3.354389,0.7970023,-1.926792514
SOBOL,CMA,Problem20,847.3548,0.8584346,0.5153239,0.5104151,0.2211837,-2.400167556
SOBOL,CMA,Problem20,856.2025,0.3693372,1.643528,0.2079858,0.01488995,-1.772397778
SOBOL,CMA,Problem20,856.2025,0.955398,0.2777793,0.2079858,0.01488995,-2.245332145
SOBOL,CMA,Problem20,856.2025,0.955398,1.643528,0.2079858,0.01488995,-1.75628696
SOBOL,CMA,Problem20,856.2025,0.955398,1.643528,0.2079858,0.2307189,-1.70620945
SOBOL,CMA,Problem20,856.2025,0.955398,1.643528,3.428184,0.01488995,-1.82329719
SOBOL,CMA,Problem20,856.8006,0.1961292,1.166892,3.832401,0.7129145,-2.034553518
SOBOL,CMA,Problem20,856.8006,0.9549338,0.4293904,1.08443,0.1672549,-2.242537768
SOBOL,CMA,Problem20,864.3836,0.7006202,1.07958,3.125645,0.973912,-2.178792006
SOBOL,CMA,Problem20,864.3836,0.7848505,0.1530553,3.868734,0.1148916,-1.653883367
SOBOL,CMA,Problem20,867.621,0.2225782,0.3783842,0.6754644,0.07363042,-2.498606331
SOBOL,CMA,Problem20,867.621,0.2225782,0.3783842,1.774382,0.07363042,-2.459574403
SOBOL,CMA,Problem20,867.621,0.2225782,0.3783842,1.774382,0.4546111,-2.485694673
SOBOL,CMA,Problem20,867.621,0.2225782,0.4627614,1.774382,0.07363042,-2.392881427
SOBOL,CMA,Problem20,867.621,0.4130447,0.3783842,1.774382,0.07363042,-2.39314293
SOBOL,CMA,Problem20,872.7892,0.12291,1.349619,0.003658513,0.05780872,-2.075934953
SOBOL,CMA,Problem20,872.7892,0.2336395,1.27876,2.256481,0.6356641,-2.169121346
SOBOL,CMA,Problem20,876.8988,0.8642743,1.495428,0.8253996,0.1214221,-1.881948322
SOBOL,CMA,Problem20,876.8988,0.9975273,1.891857,2.281818,0.005856896,-1.732562944
SOBOL,CMA,Problem20,883.8324,0.6846471,0.9679525,0.3593081,0.1610073,-2.240285583
SOBOL,CMA,Problem20,883.8324,0.6846471,0.9679525,0.3593081,0.2954628,-2.406112322
SOBOL,CMA,Problem20,883.8324,0.6846471,0.9679525,1.162985,0.2954628,-2.159329429
SOBOL,CMA,Problem20,883.8324,0.6846471,1.290417,0.3593081,0.2954628,-2.156846808
SOBOL,CMA,Problem20,883.8324,0.8240209,0.9679525,0.3593081,0.2954628,-2.266364487
SOBOL,CMA,Problem20,890.3569,0.3394429,0.122982,0.7328736,0.7398604,-1.446251591
SOBOL,CMA,Problem20,890.3569,0.7047349,0.253008,2.998757,0.4575203,-2.322666467
SOBOL,CMA,Problem20,894.457,0.12291,1.27876,2.256481,0.6356641,-2.177276635
SOBOL,CMA,Problem20,894.457,0.2336395,1.27876,0.003658513,0.6356641,-1.970720758
SOBOL,CMA,Problem20,894.457,0.2336395,1.27876,2.256481,0.05780872,-2.085149234
SOBOL,CMA,Problem20,894.457,0.2336395,1.27876,2.256481,0.6356641,-1.868447366
SOBOL,CMA,Problem20,894.457,0.2336395,1.349619,2.256481,0.6356641,-2.158935394
SOBOL,CMA,Problem20,899.2636,0.3465348,0.4522427,1.010862,0.3010413,-2.505847167
SOBOL,CMA,Problem20,899.2636,0.6586344,1.950878,1.411078,0.8388567,-1.815866154
SOBOL,CMA,Problem20,904.6388,0.1623725,1.958209,1.478255,0.7418455,-1.81347858
SOBOL,CMA,Problem20,904.6388,0.6281973,1.723447,3.301364,0.4719746,-1.830807262
SOBOL,CMA,Problem20,908.3607,0.903765,0.7398554,1.980506,0.5745614,-2.361392445
SOBOL,CMA,Problem20,908.3607,0.9895368,0.7398554,1.290862,0.5745614,-2.497498119
SOBOL,CMA,Problem20,908.3607,0.9895368,0.7398554,1.980506,0.5745614,-2.33752349
SOBOL,CMA,Problem20,908.3607,0.9895368,0.7398554,1.980506,0.6901677,-2.3927026
SOBOL,CMA,Problem20,908.3607,0.9895368,0.9063944,1.980506,0.5745614,-2.210345146
SOBOL,CMA,Problem20,914.7626,0.3914773,0.1052797,1.933193,0.8160174,-1.585160794
SOBOL,CMA,Problem20,914.7626,0.5232084,0.9752225,3.098977,0.9057646,-2.318482107
SOBOL,CMA,Problem20,919.9754,0.3394429,0.253008,2.998757,0.4575203,-2.129291027
SOBOL,CMA,Problem20,919.9754,0.7047349,0.122982,2.998757,0.4575203,-1.473647767
SOBOL,CMA,Problem20,919.9754,0.7047349,0.253008,0.7328736,0.4575203,-2.308839809
SOBOL,CMA,Problem20,919.9754,0.7047349,0.253008,2.998757,0.4575203,-2.32268824
SOBOL,CMA,Problem20,919.9754,0.7047349,0.253008,2.998757,0.7398604,-2.334548802
SOBOL,CMA,Problem20,922.689,0.1550823,0.6929133,0.1015476,0.7842188,-2.389000288
SOBOL,CMA,Problem20,922.689,0.6501952,0.6929133,0.1015476,0.1001163,-2.306297095
SOBOL,CMA,Problem20,922.689,0.6501952,0.6929133,0.1015476,0.7842188,-2.347100294
SOBOL,CMA,Problem20,922.689,0.6501952,0.6929133,3.045247,0.7842188,-2.323572516
SOBOL,CMA,Problem20,922.689,0.6501952,0.7960131,0.1015476,0.7842188,-2.209382726
SOBOL,CMA,Problem20,925.8648,0.2861738,0.2828579,1.907467,0.3780308,-2.125186234
SOBOL,CMA,Problem20,925.8648,0.2861738,1.831714,1.338056,0.3780308,-1.730231558
SOBOL,CMA,Problem20,925.8648,0.2861738,1.831714,1.907467,0.3186893,-1.896992035
SOBOL,CMA,Problem20,925.8648,0.2861738,1.831714,1.907467,0.3780308,-1.797025282
SOBOL,CMA,Problem20,925.8648,0.7935778,1.831714,1.907467,0.3780308,-1.872476999
SOBOL,CMA,Problem20,93.0279,0.361017,1.24517,0.577082,0.845276,-1.472096085
SOBOL,CMA,Problem20,93.0279,0.572682,1.24517,0.577082,0.845276,-1.398519979
SOBOL,CMA,Problem20,93.0279,0.572682,1.24517,0.577082,0.923554,-1.305258308
SOBOL,CMA,Problem20,93.0279,0.572682,1.24517,3.96348,0.845276,-1.614496524
SOBOL,CMA,Problem20,93.0279,0.572682,1.61685,0.577082,0.845276,-1.158460327
SOBOL,CMA,Problem20,933.7789,0.5156476,0.1785854,0.04767526,0.6344019,-1.91022074
SOBOL,CMA,Problem20,933.7789,0.9086738,1.919376,0.807865,0.416992,-1.856216036
SOBOL,CMA,Problem20,940.4303,0.2225782,0.3783842,1.774382,0.07363042,-2.208141986
SOBOL,CMA,Problem20,940.4303,0.4130447,0.4627614,0.6754644,0.4546111,-2.458556536
SOBOL,CMA,Problem20,944.0897,0.2950303,1.369944,2.760949,0.4292569,-2.24857104
SOBOL,CMA,Problem20,944.0897,0.2950303,1.369944,2.871304,0.4292569,-2.06133991
SOBOL,CMA,Problem20,944.0897,0.2950303,1.369944,2.871304,0.6275409,-2.206615531
SOBOL,CMA,Problem20,944.0897,0.2950303,1.435252,2.871304,0.4292569,-2.051112517
SOBOL,CMA,Problem20,944.0897,0.4023044,1.369944,2.871304,0.4292569,-2.284074209
SOBOL,CMA,Problem20,946.448,0.8069678,0.747434,3.48819,0.3295296,-2.375890894
SOBOL,CMA,Problem20,946.448,0.8540316,0.9239389,1.264553,0.2501522,-2.386278852
SOBOL,CMA,Problem20,954.7976,0.5610846,1.877387,1.134815,0.3670946,-1.859056202
SOBOL,CMA,Problem20,954.7976,0.5610846,1.926949,1.134815,0.1290711,-1.795602064
SOBOL,CMA,Problem20,954.7976,0.5610846,1.926949,1.134815,0.3670946,-1.797957053
