method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,DTLZ2,3,1000,0.1,110,0.1,164,7.8181818,0.041637514,0.012630727,0.016397164
Morris,NSGAIII,DTLZ2,3,1000,0.26363636,110,0.18181818,200,2.7272727,0.038020754,0.01184581,0.013526528
Morris,NSGAIII,DTLZ2,3,1000,0.34545455,200,0.59090909,200,7.8181818,0.040335673,0.014214367,0.016863612
Morris,NSGAIII,DTLZ2,3,1000,0.42727273,20,0.42727273,200,7.0909091,0.037332158,0.01374915,0.018364706
Morris,NSGAIII,DTLZ2,3,1000,0.42727273,20,0.91818182,200,7.0909091,0.037379121,0.011926334,0.014041281
Morris,NSGAIII,DTLZ2,3,1000,0.75454545,110,0.18181818,200,2.7272727,0.033904972,0.00972132,0.013938671
Morris,NSGAIII,DTLZ2,3,1000,0.75454545,110,0.18181818,200,7.0909091,0.034958929,0.010250827,0.01625061
Morris,NSGAIII,DTLZ2,3,109.0909,0.2636364,128,0.4272727,164,3.454545,0.01397024,0.015984847,0.017080673
Morris,NSGAIII,DTLZ2,3,109.0909,0.2636364,20,0.4272727,164,3.454545,0.014404035,0.014716706,0.01939904
Morris,NSGAIII,DTLZ2,3,109.0909,0.2636364,20,0.4272727,164,7.818182,0.015763805,0.011986152,0.016576267
Morris,NSGAIII,DTLZ2,3,109.0909,0.2636364,20,0.9181818,164,7.818182,0.016655148,0.012302433,0.019442903
Morris,NSGAIII,DTLZ2,3,109.0909,0.7545455,128,0.4272727,164,3.454545,0.007268119,0.00746339,0.009844473
Morris,NSGAIII,DTLZ2,3,109.0909,0.9181818,182,0.6727273,110,6.363636,0.007064034,0.007605512,0.007673698
Morris,NSGAIII,DTLZ2,3,109.0909,0.9181818,74,0.6727273,110,6.363636,0.006948534,0.005722073,0.008224328
Morris,NSGAIII,DTLZ2,3,109.0909,0.9181818,74,0.6727273,2,2,0.00689937,0.003726979,0.005738775
Morris,NSGAIII,DTLZ2,3,109.0909,0.9181818,74,0.6727273,2,6.363636,0.007721843,0.004482384,0.00738884
Morris,NSGAIII,DTLZ2,3,198.1818,0.4272727,164,0.1818182,182,8.545455,0.017269817,0.009165778,0.014624656
Morris,NSGAIII,DTLZ2,3,20,0.1,92,0.427273,56,6.36364,0.022058776,0.036769357,0.033907307
Morris,NSGAIII,DTLZ2,3,20,0.1,92,0.918182,56,6.36364,0.019840118,0.034475338,0.032632698
Morris,NSGAIII,DTLZ2,3,20,0.263636,92,0.509091,92,6.36364,0.012019965,0.038956018,0.03512185
Morris,NSGAIII,DTLZ2,3,20,0.263636,92,1,92,6.36364,0.009814041,0.067074328,0.045536416
Morris,NSGAIII,DTLZ2,3,20,0.4272727,128,0.2636364,146,7.090909,0.011139146,0.032184145,0.046003975
Morris,NSGAIII,DTLZ2,3,20,0.590909,92,0.918182,56,6.36364,0.004445377,0.025390156,0.022495392
Morris,NSGAIII,DTLZ2,3,20,0.5909091,92,0.9181818,164,6.363636,0.007500369,0.033084742,0.035906441
Morris,NSGAIII,DTLZ2,3,20,0.8363636,20,0.1818182,110,7.818182,0.008582349,0.018927983,0.044908413
Morris,NSGAIII,DTLZ2,3,20,0.8363636,20,0.6727273,110,3.454545,0.004616001,0.039455794,0.038679469
Morris,NSGAIII,DTLZ2,3,20,0.8363636,20,0.6727273,110,7.818182,0.005189296,0.019069436,0.020656844
Morris,NSGAIII,DTLZ2,3,287.2727,0.1,146,0.5909091,128,4.909091,0.033489457,0.022422765,0.027227506
Morris,NSGAIII,DTLZ2,3,287.2727,0.2636364,74,0.9181818,56,4.181818,0.023293202,0.012235803,0.018269768
Morris,NSGAIII,DTLZ2,3,287.2727,0.4272727,110,0.3454545,92,7.818182,0.022280944,0.00785612,0.012200439
Morris,NSGAIII,DTLZ2,3,287.2727,0.4272727,146,0.1818182,164,2,0.017862307,0.007903818,0.010995052
Morris,NSGAIII,DTLZ2,3,287.2727,0.4272727,146,0.1818182,164,6.363636,0.020712762,0.010640745,0.014095801
Morris,NSGAIII,DTLZ2,3,287.2727,0.4272727,146,0.1818182,56,6.363636,0.020497074,0.013677739,0.02209493
Morris,NSGAIII,DTLZ2,3,287.2727,0.8363636,128,0.5090909,200,8.545455,0.017273445,0.010847176,0.015200067
Morris,NSGAIII,DTLZ2,3,287.2727,0.8363636,128,1,200,8.545455,0.016945309,0.007763878,0.010807141
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,110,0.3454545,92,7.818182,0.016349178,0.007902068,0.011852877
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,146,0.1818182,56,6.363636,0.016015988,0.010724486,0.013609131
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,182,0.5090909,20,6.363636,0.01559847,0.006920003,0.00995907
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,182,1,128,6.363636,0.015746077,0.007541022,0.009778208
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,182,1,20,6.363636,0.015489039,0.00726811,0.010419579
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,74,1,128,2,0.014353011,0.007597488,0.009484795
Morris,NSGAIII,DTLZ2,3,287.2727,0.9181818,74,1,128,6.363636,0.015449204,0.009384405,0.013693987
Morris,NSGAIII,DTLZ2,3,287.2727,1,38,0.1818182,164,7.818182,0.014930606,0.00984319,0.012606049
Morris,NSGAIII,DTLZ2,3,376.3636,0.2636364,200,0.2636364,128,3.454545,0.026469465,0.012975012,0.01732713
Morris,NSGAIII,DTLZ2,3,376.3636,0.2636364,200,0.2636364,20,3.454545,0.026201688,0.012435187,0.019669563
Morris,NSGAIII,DTLZ2,3,376.3636,0.7545455,200,0.2636364,128,3.454545,0.019564907,0.006809385,0.010332762
Morris,NSGAIII,DTLZ2,3,376.3636,0.7545455,200,0.2636364,128,7.818182,0.021504916,0.009154712,0.011725293
Morris,NSGAIII,DTLZ2,3,376.3636,0.7545455,200,0.7545455,128,7.818182,0.02141872,0.009160029,0.012816108
Morris,NSGAIII,DTLZ2,3,376.3636,0.9181818,200,0.5909091,164,4.181818,0.018446506,0.009298022,0.01169843
Morris,NSGAIII,DTLZ2,3,376.3636,0.9181818,200,0.5909091,164,8.545455,0.020256803,0.00926904,0.012003149
Morris,NSGAIII,DTLZ2,3,465.4545,0.1,110,0.1,164,7.818182,0.037343797,0.018451837,0.020218609
Morris,NSGAIII,DTLZ2,3,465.4545,0.2636364,110,0.1818182,200,2.727273,0.029914458,0.015625192,0.021855832
Morris,NSGAIII,DTLZ2,3,465.4545,0.2636364,110,0.6727273,200,2.727273,0.031883677,0.011863826,0.017813825
Morris,NSGAIII,DTLZ2,3,465.4545,0.2636364,2,0.6727273,200,2.727273,0.028601897,0.012425585,0.019126189
Morris,NSGAIII,DTLZ2,3,465.4545,0.2636364,2,0.6727273,92,2.727273,0.028341134,0.013502371,0.017819731
Morris,NSGAIII,DTLZ2,3,465.4545,0.3454545,200,0.5909091,200,7.818182,0.031582819,0.011973559,0.015909369
Morris,NSGAIII,DTLZ2,3,465.4545,0.3454545,92,0.5909091,200,7.818182,0.031036118,0.010001749,0.016490673
Morris,NSGAIII,DTLZ2,3,465.4545,0.3454545,92,0.5909091,92,7.818182,0.031578224,0.013668724,0.020048712
Morris,NSGAIII,DTLZ2,3,465.4545,0.4272727,128,0.9181818,200,7.090909,0.029749997,0.011135729,0.014965207
Morris,NSGAIII,DTLZ2,3,465.4545,0.4272727,20,0.9181818,200,7.090909,0.027464005,0.009967351,0.016582616
Morris,NSGAIII,DTLZ2,3,465.4545,0.5909091,110,0.1,164,7.818182,0.026318189,0.010294075,0.014428744
Morris,NSGAIII,DTLZ2,3,465.4545,0.5909091,110,0.5909091,164,7.818182,0.026567349,0.011762628,0.017117253
Morris,NSGAIII,DTLZ2,3,465.4545,0.5909091,2,0.5909091,164,7.818182,0.023975594,0.010078542,0.013008731
Morris,NSGAIII,DTLZ2,3,465.4545,0.5909091,2,0.5909091,56,7.818182,0.023642223,0.011195945,0.016157995
Morris,NSGAIII,DTLZ2,3,465.4545,0.8363636,92,0.1,92,3.454545,0.022226995,0.01012137,0.013973005
Morris,NSGAIII,DTLZ2,3,465.4545,0.8363636,92,0.5909091,92,3.454545,0.02252033,0.009072753,0.011936992
Morris,NSGAIII,DTLZ2,3,465.4545,0.8363636,92,0.5909091,92,7.818182,0.023452889,0.010056856,0.013453284
Morris,NSGAIII,DTLZ2,3,465.4545,0.9181818,128,0.9181818,200,7.090909,0.023025452,0.008739578,0.011986264
Morris,NSGAIII,DTLZ2,3,465.4545,0.9181818,128,0.9181818,92,2.727273,0.021529921,0.01122502,0.013652349
Morris,NSGAIII,DTLZ2,3,465.4545,0.9181818,128,0.9181818,92,7.090909,0.022800343,0.011134381,0.013954018
Morris,NSGAIII,DTLZ2,3,554.5455,0.1,200,0.4272727,56,2,0.03834239,0.016379647,0.020203011
Morris,NSGAIII,DTLZ2,3,554.5455,0.1,92,0.4272727,56,2,0.037805947,0.013467964,0.017108178
Morris,NSGAIII,DTLZ2,3,554.5455,0.1,92,0.4272727,56,6.363636,0.040050309,0.017367226,0.021350692
Morris,NSGAIII,DTLZ2,3,554.5455,0.2636364,92,0.5090909,200,6.363636,0.036185117,0.013880883,0.019538173
Morris,NSGAIII,DTLZ2,3,554.5455,0.2636364,92,0.5090909,92,6.363636,0.035441641,0.012073932,0.015659999
Morris,NSGAIII,DTLZ2,3,554.5455,0.3454545,128,0.6727273,110,3.454545,0.031709216,0.012352709,0.020036828
Morris,NSGAIII,DTLZ2,3,554.5455,0.3454545,128,0.6727273,2,3.454545,0.030939029,0.012325171,0.014314516
Morris,NSGAIII,DTLZ2,3,554.5455,0.3454545,20,0.6727273,110,3.454545,0.030603194,0.011024948,0.014204795
Morris,NSGAIII,DTLZ2,3,554.5455,0.4272727,128,0.2636364,146,2.727273,0.029446392,0.010348612,0.014557152
Morris,NSGAIII,DTLZ2,3,554.5455,0.4272727,128,0.2636364,146,7.090909,0.031419006,0.012331328,0.017958848
Morris,NSGAIII,DTLZ2,3,554.5455,0.7545455,200,0.5090909,200,2,0.02545395,0.0083708,0.01164511
Morris,NSGAIII,DTLZ2,3,554.5455,0.7545455,92,0.5090909,200,2,0.025524616,0.009049345,0.012413804
Morris,NSGAIII,DTLZ2,3,554.5455,0.7545455,92,0.5090909,200,6.363636,0.026992548,0.011284044,0.014088367
Morris,NSGAIII,DTLZ2,3,554.5455,0.8363636,20,0.6727273,110,3.454545,0.02423918,0.009488402,0.014308153
Morris,NSGAIII,DTLZ2,3,554.5455,0.9181818,128,0.2636364,146,2.727273,0.024441578,0.008583949,0.011201992
Morris,NSGAIII,DTLZ2,3,554.5455,0.9181818,128,0.7545455,146,2.727273,0.024967251,0.007957115,0.010563363
